N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,100,100,0.5,0.8,0.7,981.2,34.92219924346117,929,1056,56.05399449442176,0.6546415655500823
50,20,torneio,50,200,0.2,0.2,0.7,1008.35,59.45862006471392,862,1141,56.01077754158064,0.8836485336001261
50,20,torneio,50,100,0.8,0.8,0.1,1021.35,40.48119933994051,944,1089,55.89714402330204,0.46470804185000814
50,20,torneio,100,200,0.2,0.2,0.7,988.55,37.42656142367343,914,1054,55.80638873351118,1.198077834149899
50,20,torneio,100,100,0.2,0.8,0.7,991.15,33.62183070565908,913,1057,55.74945629155967,0.6452587807500549
50,20,torneio,100,100,0.2,0.8,0.1,987.85,49.03598168692047,840,1053,55.745773724480216,0.6465508476499053
50,20,torneio,50,200,0.2,0.2,0.1,1018.35,49.12664755506934,918,1115,55.73585402845333,0.8689633007499651
50,20,torneio,100,100,0.5,0.8,0.1,992.35,41.83213477698693,914,1094,55.648023706498954,0.6639355352000166
50,20,torneio,50,100,0.8,0.8,0.7,1005.45,52.317755112389904,913,1126,55.622725043835814,0.46696598680000534
50,20,torneio,50,100,0.2,0.8,0.7,1019.95,48.84513793613444,905,1109,55.55598770946405,0.4696862890999455
50,20,torneio,10,200,0.2,0.8,0.1,1079.35,50.329191330678064,1001,1174,55.48588327117187,0.21283871519999592
50,20,torneio,100,200,0.8,0.2,0.1,995.2,47.857705753619236,877,1086,55.423127940234735,1.2704110912999567
50,20,torneio,50,200,0.8,0.2,0.1,1012.55,45.52633853056931,926,1087,55.391346239082814,0.6283876893498928
50,20,torneio,50,100,0.5,0.8,0.1,1023.15,34.30783438225153,953,1079,55.31028135064071,0.4952530005999506
50,20,torneio,50,100,0.2,0.8,0.1,1033.95,28.047236940561543,972,1074,55.135046372618696,0.4679413075999491
50,20,torneio,50,200,0.8,0.2,0.7,1018.55,42.15504121691734,935,1092,55.01357947034601,0.6292612190000455
50,20,torneio,50,200,0.5,0.2,0.0,1042.9,42.583917151901375,978,1144,54.82143983983199,0.8863050184500935
50,20,torneio,50,200,0.2,0.2,0.0,1028.95,43.793235779056104,955,1125,54.81770807047425,0.8670651696499589
50,20,torneio,100,100,0.5,0.2,0.7,1031.2,47.89530248364656,916,1101,54.55250362539838,0.6014526690999447
50,20,torneio,100,100,0.8,0.2,0.0,1046.25,44.199406104607334,949,1126,53.89204469879312,0.6147343078498579
50,20,torneio,100,100,0.8,0.2,0.1,1032.4,45.38215508324831,964,1103,53.88190544293879,0.6122622483501345
50,20,torneio,10,100,0.5,0.8,0.7,1112.45,51.561104526571185,994,1203,53.783865927308455,0.10980137609990379
50,20,torneio,100,100,0.8,0.2,0.7,1043.2,44.93061317186757,920,1119,53.59432852184877,0.6157741556500695
50,20,torneio,100,100,0.5,0.2,0.1,1049.6,47.13745856534907,965,1132,53.459096289055836,0.6031430345999524
50,20,torneio,100,200,0.8,0.8,0.0,1045.2,45.19911503558449,944,1128,53.14348676811882,1.3582595744999253
50,20,torneio,100,100,0.2,0.2,0.7,1061.4,36.08794812676387,993,1124,52.64285369126053,0.6904026511500433
50,20,torneio,10,100,0.8,0.8,0.7,1136.3,56.758347403707944,1040,1278,52.50182422269595,0.11314860409993344
50,20,torneio,100,100,0.2,0.2,0.1,1065.05,50.244875360577815,952,1178,52.19749640905134,0.6209388100498472
50,20,torneio,50,200,0.8,0.8,0.0,1100.65,84.77161966129938,982,1310,52.16361668392956,0.6588236556000083
50,20,torneio,10,100,0.2,0.8,0.7,1152.05,65.20465857590239,1036,1292,52.129616142921485,0.10818102069997622
50,20,torneio,100,200,0.5,0.8,0.0,1078.1,73.47441731650548,962,1207,52.11636056934592,1.3134041552500093
50,20,torneio,100,100,0.5,0.2,0.0,1064.4,43.85932056017283,979,1142,52.104510148883165,0.6178910794499188
50,20,torneio,100,100,0.2,0.2,0.0,1077.55,55.47474650685662,966,1158,52.07563879602471,0.6228661218000525
50,20,torneio,50,100,0.2,0.2,0.1,1115.6,42.39032908577144,1043,1188,51.67682983530169,0.45900686779996247
50,20,torneio,50,100,0.5,0.2,0.7,1115.4,52.67675008957937,1011,1204,51.37291722571331,0.46037164575009226
50,20,torneio,10,200,0.8,0.2,0.1,1185.2,64.55586727788575,1091,1301,51.19348662113793,0.21087305649998597
50,20,torneio,50,100,0.8,0.2,0.7,1111.15,56.53253488036778,1020,1266,51.12227141681351,0.4436018858999432
50,20,torneio,50,100,0.5,0.2,0.1,1112.7,47.51641821518116,1046,1238,51.117990968396626,0.4811751219499456
50,20,torneio,50,100,0.5,0.2,0.0,1122.5,53.68845313472907,1030,1222,51.080117965564014,0.49239235389991337
50,20,torneio,50,100,0.8,0.2,0.1,1105.5,48.04529113243045,1003,1187,51.070322094459435,0.4433430402499653
50,20,torneio,10,100,0.8,0.8,0.1,1192.7,52.45960350593588,1083,1317,51.02008713402882,0.11144798809996245
50,20,torneio,50,100,0.2,0.2,0.7,1117.8,43.48402005334833,1021,1200,50.919103249407804,0.4607632262998777
