N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,50,200,0.2,0.2,0.1,1026.0,45.05774073341894,913,1093,54.77509289339154,0.6941729824500044
50,20,torneio,50,200,0.5,0.2,0.0,1034.65,37.88043690349941,970,1113,54.67830479029478,0.6746070709999572
50,20,torneio,100,100,0.5,0.2,0.0,1031.35,49.44115188787575,920,1104,54.34912595379998,0.6684346848499672
50,20,torneio,100,100,0.2,0.2,0.1,1029.5,43.47815543465477,957,1104,54.20997934354788,0.6717240188499772
50,20,torneio,100,100,0.8,0.2,0.1,1031.75,53.56479720861454,922,1130,53.905950869211246,0.6989614094500212
50,20,torneio,100,100,0.5,0.2,0.7,1033.25,54.62314070062248,934,1143,53.85807449544942,0.6886690724999426
50,20,torneio,100,100,0.2,0.2,0.7,1044.35,52.65194678262144,951,1143,53.70917176496109,0.6728929572999732
50,20,torneio,100,100,0.8,0.2,0.7,1044.7,38.573436455675036,974,1141,53.64836284519761,0.6786538855000345
50,20,torneio,100,100,0.2,0.2,0.0,1052.65,63.75599971767364,925,1152,53.57396956061833,0.6818873880000182
50,20,torneio,10,100,0.2,0.8,0.7,1138.45,71.78542679402275,950,1291,53.516428742525406,0.06884440439998799
50,20,torneio,100,100,0.5,0.2,0.1,1038.8,32.43239121619003,976,1124,53.502650970990416,0.679929439649959
50,20,torneio,100,100,0.8,0.2,0.0,1055.2,37.87162526219333,977,1121,53.1193454148236,0.7032022731499865
50,20,torneio,50,200,0.8,0.8,0.0,1103.65,59.17201619008769,991,1248,52.03462276451579,0.7151411909500893
50,20,torneio,50,100,0.2,0.2,0.1,1116.7,32.978932669205655,1068,1181,51.96980649446474,0.3259757987500166
50,20,torneio,10,100,0.8,0.8,0.7,1146.2,59.42945397696331,1033,1286,51.948283462197296,0.07510804334998511
50,20,torneio,100,200,0.8,0.8,0.0,1071.95,77.65402436448481,964,1235,51.94625818993235,2.2616845974999706
50,20,torneio,50,100,0.8,0.2,0.0,1110.25,53.45640747375379,1030,1199,51.847738725836436,0.32940898879996894
50,20,torneio,50,100,0.8,0.2,0.7,1108.35,53.81660988951273,1029,1213,51.695735537919724,0.32591006375000686
50,20,torneio,50,100,0.5,0.2,0.0,1111.05,56.557470770889324,1027,1220,51.6593342752833,0.3134786267500317
50,20,torneio,50,100,0.5,0.2,0.1,1114.6,45.18893669915237,1053,1213,51.637577380931404,0.3297838705000459
50,20,torneio,10,100,0.8,0.8,0.1,1166.55,59.107085023709296,1096,1299,51.575751902006765,0.07404328415000236
50,20,torneio,100,200,0.5,0.8,0.0,1088.65,69.71246301774167,942,1212,51.4739671276712,2.149887983500025
50,20,torneio,10,200,0.5,0.2,0.7,1214.9,56.512741926047084,1107,1310,51.337457814168786,0.12878960820002022
50,20,torneio,100,50,0.8,0.8,0.1,1113.55,49.03108707748585,1023,1218,51.17154195887291,0.38457227879998757
50,20,torneio,10,100,0.2,0.8,0.1,1179.55,41.94934445256565,1094,1242,51.11192002622292,0.06734785830000192
50,20,torneio,50,100,0.2,0.2,0.0,1139.8,42.07208100391517,1079,1236,51.03481742608428,0.3304564255499599
50,20,torneio,10,100,0.5,0.8,0.1,1189.25,62.63934466451577,1081,1338,50.99028768508789,0.07106034989998307
50,20,torneio,10,200,0.8,0.2,0.1,1203.35,48.2869288731433,1114,1265,50.9737559951689,0.13005816890001826
50,20,torneio,10,200,0.8,0.2,0.7,1206.9,50.839846577266535,1073,1296,50.744631794128175,0.13721246824997024
50,20,torneio,10,100,0.5,0.8,0.7,1179.8,56.18772107854171,1080,1261,50.730146222461336,0.06980559949998906
50,20,torneio,10,200,0.8,0.2,0.0,1188.45,62.246666577416015,1088,1341,50.697757640066484,0.13026853525000207
50,20,torneio,10,200,0.2,0.2,0.0,1198.2,66.99223835639468,1038,1301,50.592302212236405,0.13754481070001248
50,20,torneio,50,100,0.8,0.2,0.1,1118.4,69.8429667182029,952,1244,50.35810804968268,0.3260236368500159
50,20,torneio,100,50,0.5,0.8,0.7,1129.1,39.486579998779334,1035,1205,50.31346462446725,0.3498783073499908
50,20,torneio,50,100,0.5,0.2,0.7,1138.45,47.15980809969438,1076,1246,50.26939723541368,0.3340019802999791
50,20,torneio,100,50,0.2,0.8,0.7,1121.05,36.09359361437982,1052,1171,50.18324664210394,0.3558249995000097
50,20,torneio,100,50,0.8,0.8,0.7,1104.45,43.4010080528091,1022,1214,50.17973106037387,0.3701901896499976
50,20,torneio,100,200,0.2,0.8,0.0,1131.15,47.61751253478072,1042,1221,50.16008224071242,1.364781425299975
50,20,torneio,50,100,0.2,0.2,0.7,1125.75,41.54500571669235,1003,1183,50.128832582805884,0.3140820190000227
50,20,torneio,100,50,0.5,0.8,0.1,1123.5,42.61279150677646,1049,1213,50.09851187319485,0.35392569345001446
50,20,torneio,50,200,0.5,0.8,0.0,1143.75,67.69481147030399,1031,1268,50.03237708458241,0.7213875399500239
50,20,torneio,10,200,0.2,0.2,0.1,1211.45,41.18673937082177,1095,1310,49.95523564806774,0.13789963090000584
50,20,torneio,50,200,0.2,0.8,0.0,1164.65,48.51626016089863,1087,1268,49.88775414274302,0.7061735361500269
50,20,torneio,100,50,0.2,0.8,0.1,1135.3,53.86752268296733,1007,1208,49.846396531062,0.3720046017999721
50,20,torneio,50,50,0.5,0.8,0.7,1140.95,43.78638487018539,1052,1227,49.77578092496857,0.16583031275002896
50,20,torneio,10,200,0.5,0.2,0.0,1225.65,65.32708090830326,1107,1346,49.65787854012687,0.13084164954997277
50,20,torneio,50,50,0.2,0.8,0.7,1155.15,49.130718496679854,1050,1247,49.55095044328233,0.17059467065001854
50,20,torneio,10,200,0.2,0.2,0.7,1213.55,42.88878058420407,1149,1284,49.23695819850771,0.1383788730499873
50,20,torneio,50,50,0.8,0.8,0.1,1153.7,46.54470968864238,1097,1240,49.1090985290191,0.1686229298500052
50,20,torneio,10,200,0.5,0.2,0.1,1211.55,66.76112266881077,1085,1388,48.94885874171975,0.128329783449999
50,20,torneio,50,50,0.8,0.8,0.7,1190.45,48.80110142199661,1079,1275,48.919395244463985,0.1735587477499962
50,20,torneio,50,50,0.2,0.8,0.1,1188.95,55.930738418154284,1063,1264,48.728320819178556,0.1740299121500243
50,20,torneio,100,50,0.8,0.2,0.0,1171.55,55.30594452678663,1052,1279,48.319032115257556,0.3523743181499867
50,20,torneio,100,50,0.8,0.2,0.7,1174.5,41.657532332100516,1103,1242,47.989362793638,0.3680230836999499
50,20,torneio,50,100,0.2,0.8,0.0,1211.0,46.13566949768909,1127,1333,47.675883458275884,0.33651811520002184
50,20,torneio,100,50,0.5,0.2,0.7,1173.2,58.098709107862284,1059,1260,47.674495074280344,0.34878736615009986
50,20,torneio,100,100,0.2,0.8,0.0,1170.0,45.71323659510448,1101,1266,47.6229621902731,0.685453932400037
50,20,torneio,100,50,0.8,0.2,0.1,1161.35,33.49817159189438,1108,1234,47.589914412625205,0.3714573428500671
50,20,torneio,100,100,0.5,0.8,0.0,1180.9,62.04989927469665,1075,1349,47.54804089084289,0.731985319649948
50,20,torneio,50,50,0.5,0.8,0.1,1193.8,60.73763248596376,1117,1376,47.424832887266454,0.17730273939997687
50,20,torneio,100,50,0.5,0.2,0.0,1194.5,52.03124061561477,1094,1328,47.34984735167043,0.3560928357999728
50,20,torneio,50,100,0.5,0.8,0.0,1205.2,69.31421210689768,1014,1336,47.34165828167439,0.35249628775001157
50,20,torneio,10,50,0.8,0.8,0.7,1287.6,67.3790768710881,1172,1406,47.332914304549384,0.03534975729997995
50,20,torneio,50,100,0.8,0.8,0.0,1214.15,68.80354278669085,1065,1374,47.20820558923394,0.33713191040003493
50,20,torneio,100,50,0.5,0.2,0.1,1171.2,60.43062137691454,1057,1284,47.119256650259786,0.35899143200001615
50,20,torneio,100,100,0.8,0.8,0.0,1198.8,76.6019581995134,1015,1296,46.40321958733328,0.7073268866000262
50,20,torneio,50,50,0.8,0.2,0.1,1213.5,57.084586360943355,1102,1296,46.34992401109828,0.16371279445000936
50,20,torneio,10,50,0.5,0.8,0.7,1315.35,74.47501258811576,1188,1470,46.34324500908643,0.03497814670001844
50,20,torneio,100,50,0.2,0.2,0.7,1200.9,50.00789937599859,1108,1290,46.31747898318715,0.33220202304994473
50,20,torneio,100,50,0.2,0.2,0.1,1195.8,60.06463185602655,1122,1359,46.256086795550935,0.3431754871000294
50,20,torneio,50,50,0.8,0.2,0.0,1264.85,77.70474567232043,1096,1397,45.49484749580081,0.1633297204999508
50,20,torneio,10,50,0.2,0.8,0.7,1325.5,58.231005486767955,1192,1437,45.46736528408185,0.033854293950003014
50,20,torneio,50,50,0.8,0.2,0.7,1249.85,77.4830787978898,1084,1391,45.269219914737974,0.16416196580000814
50,20,torneio,100,50,0.2,0.2,0.0,1227.8,71.94553495527016,1096,1358,45.24312403401419,0.347382957800005
50,20,torneio,10,50,0.5,0.8,0.1,1321.15,82.702040482687,1158,1536,45.159976470210125,0.034635685899979764
50,20,torneio,50,50,0.5,0.2,0.1,1271.95,58.89182880502184,1165,1421,44.95215328330725,0.16906314719998364
50,20,torneio,10,50,0.8,0.8,0.1,1333.7,79.30012610330452,1100,1465,44.951155423895806,0.03578422855001691
50,20,torneio,50,50,0.5,0.2,0.0,1257.6,57.53033982169755,1162,1335,44.67902979692773,0.17253295765000304
50,20,torneio,10,100,0.2,0.2,0.0,1363.15,87.02716529911795,1160,1516,44.22040804734383,0.0676492601000291
50,20,torneio,10,200,0.2,0.8,0.0,1363.2,55.20108694582019,1277,1450,44.20612626377672,0.14040978584997674
50,20,torneio,50,50,0.5,0.2,0.7,1266.15,35.68231354606929,1197,1337,44.186410624310085,0.1686865752499898
50,20,torneio,10,50,0.2,0.8,0.1,1338.75,52.8477766798188,1236,1448,44.12652439954637,0.03388323319998108
